run_id,seed,algorithm,controller_profile,uses_base_comparison,instance,n_hubs,n_clients,agents,iterations,best_fitness,gap_to_exact_optimum,exact_optimum,best_assignment,interventions,runtime_seconds,curve_path
10,1243,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.454501100000925,tmlap_compare_simple\curves\shap_convergence_run10.csv
11,1244,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,24.542482399992878,tmlap_compare_simple\curves\shap_convergence_run11.csv
12,1245,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,25.242205699993065,tmlap_compare_simple\curves\shap_convergence_run12.csv
13,1246,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,25.849390900009894,tmlap_compare_simple\curves\shap_convergence_run13.csv
14,1247,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,29.68412140000146,tmlap_compare_simple\curves\shap_convergence_run14.csv
15,1248,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,26.80958329999703,tmlap_compare_simple\curves\shap_convergence_run15.csv
16,1249,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,27.210753900013515,tmlap_compare_simple\curves\shap_convergence_run16.csv
17,1250,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,25.848065799989854,tmlap_compare_simple\curves\shap_convergence_run17.csv
18,1251,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,28.007292399997823,tmlap_compare_simple\curves\shap_convergence_run18.csv
19,1252,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,27.82763420000265,tmlap_compare_simple\curves\shap_convergence_run19.csv
20,1253,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.58259619999444,tmlap_compare_simple\curves\shap_convergence_run20.csv
21,1254,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,27.629637399993953,tmlap_compare_simple\curves\shap_convergence_run21.csv
22,1255,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,26.73770610000065,tmlap_compare_simple\curves\shap_convergence_run22.csv
23,1256,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,46.03862249999656,tmlap_compare_simple\curves\shap_convergence_run23.csv
24,1257,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,45.25725870000315,tmlap_compare_simple\curves\shap_convergence_run24.csv
25,1258,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,30.443586699999287,tmlap_compare_simple\curves\shap_convergence_run25.csv
26,1259,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,28.048481799996807,tmlap_compare_simple\curves\shap_convergence_run26.csv
27,1260,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,25.786622700004955,tmlap_compare_simple\curves\shap_convergence_run27.csv
28,1261,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,34.330246099998476,tmlap_compare_simple\curves\shap_convergence_run28.csv
29,1262,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 1 1 2 0,6,31.94615229999181,tmlap_compare_simple\curves\shap_convergence_run29.csv
30,1263,WO_tmlap_online_shap,soft,False,1.instancia_simple_3h_6c,3,6,30,300,89.0,0.0,89.0,0 1 2 1 2 0,6,25.891447499991045,tmlap_compare_simple\curves\shap_convergence_run30.csv
