run_id,benchmark,benchmark_source,algorithm,gbest_mode,function,function_id,function_name,function_family,dim,agents,iterations,seed,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
4,cec2022,opfunu,WO_base,legacy,F8,8,Hybrid Function 3,hybrid,10,30,500,4241,9260246021334.377,2300.0580201368984,2200.0,100.05802013689845,29.6943532951 38.6434174898 -90.0078098918 -49.2155013567 47.0823646904 79.3385194303 66.9698183609 13.8316456431 39.030857845 51.7858735095,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F8_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F9,9,Composition Function 1,composition,10,30,500,4242,3195.4856789058545,2300.39283686488,2300.0,0.39283686487988234,52.9175307445 -2.32552766392 -2.91250127975 -63.8656299384 44.5012254083 59.5590782263 18.6049395158 -61.6455539737 -36.5515636396 28.2936525266,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F9_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F10,10,Composition Function 2,composition,10,30,500,4243,4320.495143636666,2748.8931561245054,2400.0,348.89315612450537,-18.05245522 -10.2660536993 -1.75895497603 43.5670471882 3.03215246674 -43.2038962376 1.45692230226 31.5841804622 17.767903585 48.0574940928,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F10_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F11,11,Composition Function 3,composition,10,30,500,4244,5110.899742402764,2600.109984350795,2600.0,0.10998435079500268,49.13045451 7.55756386787 -32.7679779909 5.14126128218 70.6207638411 44.9645889783 29.4244001785 12.6442612059 16.7800394839 -56.3808047162,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F11_run4.csv,completed
4,cec2022,opfunu,WO_base,legacy,F12,12,Composition Function 4,composition,10,30,500,4245,3724.0875574746815,2857.1125844912,2700.0,157.11258449119987,-97.4305629389 -61.4920064428 -99.9915113203 -62.6306560127 95.4732726754 -37.8026270996 92.7553461304 56.8547581757 -99.9999999997 68.4567736758,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F12_run4.csv,completed
5,cec2022,opfunu,WO_base,legacy,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,5234,23926.484898592476,300.0811256608585,300.0,0.08112566085850403,-55.9100834616 4.35883299331 35.3848475533 8.3119666715 -47.4663949201 7.27661127073 6.31100670988 -2.34509006944 -61.1255260045 -47.1242883832,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F1_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,5235,2647.306288132012,407.5698916829475,400.0,7.569891682947514,79.3497969861 70.8231341472 -99.5623095711 98.1871651613 -18.5575364484 -17.6624223105 96.1200161962 71.9790676159 -53.3291015417 55.2143059675,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F2_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,5236,600.8024859538831,600.0000035126948,600.0,3.512694775054115e-06,79.0943552815 -24.5753644559 -34.666779832 -44.785923566 76.0734818968 16.3842358799 -21.6050461421 5.48318783252 65.0423538699 51.2725720943,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F3_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,5237,999.0,852.0,800.0,52.0,-3.03366754925 -16.173179442 0.0789297164898 -5.26678327278 -2.89139604921 -5.63283826332 1.75484512896 -53.1998367479 7.04647329182 -6.02524731408,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F4_run5.csv,completed
5,cec2022,opfunu,WO_base,legacy,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,5238,905.2269894384092,900.0004210379055,900.0,0.0004210379055393787,-25.1841388589 1.17454316635 21.524737039 51.9554250016 -18.2482770949 -12.6806502545 15.3983844783 -3.07048926887 -51.6958862604 41.9029238508,all_functions_outputs_30runs_legacy_20260429\values\conv_curve_F5_run5.csv,completed
