run_id,seed,iteration,profile,target,method,n_coalitions,expected_value,predicted_value,dominant_feature,dominant_label,dominant_value,action,mode,fraction,feature_alpha,feature_beta,feature_danger_signal,feature_safety_signal,feature_diversity,feature_iteration,shap_alpha,shap_beta,shap_danger_signal,shap_safety_signal,shap_diversity,shap_iteration
6,1239,157,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random,0.3,0.4766666666666667,0.4419298941260468,0.4948741800546452,0.658355617464848,0.26389763350487966,0.5233333333333333,0.0,0.0,0.0,0.0,0.0,0.0
6,1239,202,soft,stagnation_risk,exact_shapley_wo_simulation,64,290.0,289.0,iteration,Iteracion normalizada,-1.0000000000000004,random_reinjection,random,0.3,0.32666666666666666,0.15016170628984726,0.635154268101885,0.684530304936521,0.2601034077864556,0.6733333333333333,0.0,0.0,0.0,0.0,0.0,-1.0000000000000004
6,1239,238,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random,0.3,0.20666666666666667,0.05053016223541351,0.4710099969591829,0.693717739306547,0.2648084753457019,0.7933333333333333,0.0,0.0,0.0,0.0,0.0,0.0
7,1240,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.7255694612277441,0.8169617166441342,0.22064299146015634,0.13333333333333333,0.0,0.0,-0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333
7,1240,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.5139598376954914,0.255822455818574,0.22476375271065308,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
7,1240,214,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,295.0,beta,Coef. sigmoide (beta),-2.000000000000001,random_reinjection,random_aggressive,0.3,0.2866666666666666,0.10589896223591777,0.530569151178373,0.3619327813845705,0.24479207865203026,0.7133333333333334,0.0,-2.000000000000001,0.0,0.0,0.0,-1.0000000000000004
7,1240,250,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,276.0,diversity,Diversidad poblacional,-13.999999999999995,random_reinjection,random_aggressive,0.3,0.16666666666666663,0.03444519566621129,0.5216372722344104,0.35092687199925,0.002559386013292273,0.8333333333333334,0.0,0.0,0.0,0.0,-13.999999999999995,-7.999999999999999
8,1241,53,soft,stagnation_risk,exact_shapley_wo_simulation,64,294.0,298.0,safety_signal,Senal de seguridad,4.000000000000002,random_reinjection,random_aggressive,0.3,0.8233333333333334,0.9620695794697626,0.5621688625958329,0.6405575593517969,0.19452226317386417,0.17666666666666667,0.0,0.0,0.0,4.000000000000002,0.0,0.0
8,1241,106,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,danger_signal,Senal de peligro,2.2333333333333334,random_reinjection,random_aggressive,0.3,0.6466666666666667,0.8125502070042587,0.8010292259846707,0.13688924681346548,0.23822888843832685,0.35333333333333333,0.0,-0.35,2.2333333333333334,-0.35,-1.7666666666666666,0.23333333333333334
8,1241,142,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,289.0,diversity,Diversidad poblacional,0.8333333333333334,random_reinjection,random_aggressive,0.3,0.5266666666666666,0.5662743941954392,0.7055082740276177,0.49774660559930717,0.23868763264322676,0.47333333333333333,0.6666666666666665,-0.16666666666666669,-2.4999999999999996,0.0,0.8333333333333334,-7.833333333333333
8,1241,178,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.4066666666666666,0.28224894304226,0.4024454693567328,0.2560504622266303,0.2258063997811129,0.5933333333333334,0.0,0.0,0.0,0.0,0.0,0.0
8,1241,231,soft,stagnation_risk,exact_shapley_wo_simulation,64,290.0,283.0,safety_signal,Senal de seguridad,0.3333333333333336,random_reinjection,random_aggressive,0.3,0.22999999999999998,0.0629733560569965,0.5642790429109319,0.8960630623394958,0.2114555455911721,0.77,-3.166666666666666,0.0,0.0,0.3333333333333336,0.0,-4.166666666666668
9,1242,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,0.5,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.5624522131294093,0.4920341724264632,0.16064364626055375,0.13333333333333333,0.0,0.0,0.0,0.5,0.0,-0.49999999999999994
9,1242,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.35749827386791055,0.055010478418006215,0.2462637676101097,0.25333333333333335,0.0,0.0,-0.16666666666666666,0.3333333333333333,0.0,-0.16666666666666666
9,1242,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.6266666666666667,0.7801716022593175,0.6571920719164283,0.9570092857247222,0.18812600639379362,0.37333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
9,1242,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.5066666666666666,0.5166604965694115,0.502981867243704,0.43887553155117254,0.15633478660329983,0.49333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
9,1242,184,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,297.0,beta,Coef. sigmoide (beta),-1.0000000000000004,random_reinjection,random_aggressive,0.3,0.3866666666666667,0.24354647076959568,0.5141378610446691,0.4232496965317374,0.22925180764354422,0.6133333333333333,0.0,-1.0000000000000004,0.0,0.0,0.0,0.0
9,1242,220,soft,stagnation_risk,exact_shapley_wo_simulation,64,289.0,286.0,iteration,Iteracion normalizada,-3.000000000000001,random_reinjection,random_aggressive,0.3,0.2666666666666667,0.08839967720705832,0.6251693208573672,0.8435419544862399,0.22514928158235264,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,-3.000000000000001
10,1243,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.8359293746362273,0.24839232435033998,0.0024573646114558327,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
10,1243,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,safety_signal,Senal de seguridad,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.6778370785561969,0.7957283041419847,0.23084143237910834,0.25333333333333335,0.0,0.0,-0.16666666666666666,0.3333333333333333,0.0,-0.16666666666666666
10,1243,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,296.0,iteration,Iteracion normalizada,-2.000000000000001,random_reinjection,random_aggressive,0.3,0.6266666666666667,0.7801716022593175,0.5695203218549858,0.5723055396492994,0.2361824561175142,0.37333333333333335,0.0,0.0,0.0,0.0,0.0,-2.000000000000001
10,1243,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.5066666666666666,0.5166604965694115,0.5562457694463266,0.46639623872798386,0.22707517269248823,0.49333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
10,1243,184,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.3866666666666667,0.24354647076959568,0.36256281844497973,0.809182095053386,0.21891899151888825,0.6133333333333333,0.0,0.0,0.0,0.0,0.0,0.0
10,1243,220,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,iteration,Iteracion normalizada,0.3333333333333333,random_reinjection,random_aggressive,0.3,0.2666666666666667,0.08839967720705832,0.4884972885476541,0.23517384255888008,0.22005352177557072,0.7333333333333333,0.0,-0.16666666666666666,0.0,-0.16666666666666666,0.0,0.3333333333333333
11,1244,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,danger_signal,Senal de peligro,0.5,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.2027854717979899,0.07852256741201125,0.24946590079189002,0.13333333333333333,0.0,0.0,0.5,0.0,-0.49999999999999994,0.0
11,1244,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,iteration,Iteracion normalizada,1.0000000000000004,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.584714697046426,0.4694098274426408,0.23127072951629635,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,1.0000000000000004
11,1244,112,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,danger_signal,Senal de peligro,1.3333333333333333,random_reinjection,random_aggressive,0.3,0.6266666666666667,0.7801716022593175,0.3657250064343822,0.6660219594298642,0.24878001717452172,0.37333333333333335,0.0,0.0,1.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.0
11,1244,148,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,beta,Coef. sigmoide (beta),0.3333333333333333,random_reinjection,random_aggressive,0.3,0.5066666666666666,0.5166604965694115,0.6777635363947657,0.06524622574557859,0.13830070094430946,0.49333333333333335,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
11,1244,197,soft,stagnation_risk,exact_shapley_wo_simulation,64,297.0,298.0,danger_signal,Senal de peligro,0.8333333333333333,random_reinjection,random_aggressive,0.3,0.3433333333333334,0.17269210408294455,0.6541100555453758,0.9154940188949762,0.2251932953447096,0.6566666666666666,0.0,-0.16666666666666666,0.8333333333333333,0.8333333333333333,0.0,-0.49999999999999994
11,1244,233,soft,stagnation_risk,exact_shapley_wo_simulation,64,292.0,281.0,iteration,Iteracion normalizada,-10.999999999999993,random_reinjection,random_aggressive,0.3,0.22333333333333338,0.05915225196352847,0.4469425596339746,0.3562847714516071,0.22832820075268778,0.7766666666666666,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-10.999999999999993
12,1245,40,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.8666666666666667,0.975075573352886,0.9198296267426187,0.998257259344839,0.19044368850653806,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
12,1245,76,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,298.0,alpha,Coef. exploracion (alpha),0.0,random_reinjection,random_aggressive,0.3,0.7466666666666666,0.921771740548216,0.29428119066904845,0.2897024760154985,0.13150371710638764,0.25333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
12,1245,127,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,296.0,safety_signal,Senal de seguridad,2.55,random_reinjection,random_aggressive,0.3,0.5766666666666667,0.6827993860934125,0.7299612350893988,0.6853273055158663,0.24631861206360256,0.42333333333333334,-1.0833333333333335,-0.03333333333333335,-0.7833333333333333,2.55,-1.7833333333333334,-0.8666666666666667
12,1245,163,soft,stagnation_risk,exact_shapley_wo_simulation,64,298.0,279.0,diversity,Diversidad poblacional,-15.166666666666664,random_reinjection,random_aggressive,0.3,0.45666666666666667,0.3933306438917886,0.39860137528872575,0.8562001138625578,0.24761963539962153,0.5433333333333333,-1.6666666666666665,0.0,0.0,-2.0,-15.166666666666664,-0.16666666666666666
