iteration,event_id,alpha,beta,danger_signal,safety_signal,diversity,diversity_norm,current_fitness,output_fitness,stagnation,stagnation_length,diagnosis,s_t,delta_fitness,threshold,stagnation_state,event_active,control_mode,action_taken,action_justification,alpha_scale,beta_scale,rescue_fraction,rescue_mode,rescued_agents,shap_requested,shap_reason,decision_shap_used,decision_dominant_feature,decision_harmful_feature,decision_harmful_value,decision_harmful_mass,decision_policy,dominant_feature,trace_role,effect_label,delta_fitness_post
40,0,0.92,0.9852259683067269,1.1566646239466696,0.9379354270644406,114.54315340343888,0.655858640702815,13014.065890595737,13014.065890595737,0,35,no_stagnation,35,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
41,0,0.918,0.9849320101894071,-1.0168597068574556,0.801836244033851,114.23719192666697,0.6541067465712097,13014.065890595737,13014.065890595737,0,36,no_stagnation,36,inf,0.013014065890595736,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
42,0,0.916,0.9846322944347244,0.6084720401155226,0.4074600885561348,129.62259468893265,0.7422014867848309,10866.793783344347,10866.793783344347,0,0,no_stagnation,0,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
43,0,0.914,0.9843267119339514,0.32676546651984517,0.12031335232290175,78.88927429811187,0.45170933984115197,10866.793783344347,10866.793783344347,0,1,no_stagnation,1,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
44,0,0.912,0.9840151516577974,1.734321300878865,0.6743640597491619,116.61470210120417,0.6677200490253246,10866.793783344347,10866.793783344347,0,2,no_stagnation,2,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
45,0,0.91,0.9836975006285591,0.0993604422143867,0.3104690415106196,116.61404392924138,0.6677162804214748,10866.793783344347,10866.793783344347,0,3,no_stagnation,3,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
46,0,0.908,0.9833736438921183,0.702843150812616,0.9921849055762028,97.33049494016502,0.5573012809028562,10866.793783344347,10866.793783344347,0,4,no_stagnation,4,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
47,0,0.906,0.9830434644897992,-0.6427449881893866,0.8722083553863699,119.10463447411759,0.6819770658178437,10866.793783344347,10866.793783344347,0,5,no_stagnation,5,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
48,0,0.904,0.9827068434300946,-1.7780496260293739,0.872154686586961,105.19689050720736,0.6023432004810555,10866.793783344347,10866.793783344347,0,6,no_stagnation,6,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
49,0,0.902,0.9823636596602774,-1.2934132657496022,0.6025421982725149,105.61862311898238,0.6047579845103078,10866.793783344347,10866.793783344347,0,7,no_stagnation,7,inf,0.010866793783344346,no_stagnation,0,baseline,none,Sin intervencion.,1.0,1.0,0.0,none,0,0,none,0,none,none,0.0,0.0,not_evaluated,none,none,not_applicable,0.0
