run_id,benchmark,benchmark_source,algorithm,function,function_id,function_name,function_family,dim,agents,iterations,seed,elapsed_seconds,initial_fitness,final_fitness,optimum,gap_to_optimum,best_position,curve_csv,status
5,cec2022,opfunu,WO_base,F8,8,Hybrid Function 3,hybrid,10,30,500,5241,16.949514399995678,1450078065420.0503,3101.713065861405,2200.0,901.7130658614051,-4.74760481812 62.7815781614 48.2091481614 86.1033497623 17.5483096411 -63.1465614524 60.7010089208 -13.812757996 39.2078736162 74.3498388635,all_functions_outputs_30runs\values\conv_curve_F8_run5.csv,completed
5,cec2022,opfunu,WO_base,F9,9,Composition Function 1,composition,10,30,500,5242,4.786422199991648,3103.1099669789755,2668.9529747209763,2300.0,368.9529747209763,54.8466507654 -100 -100 -94.8791757482 21.1163889107 88.876601185 71.013783038 -49.550416747 -65.9642972221 46.5318782747,all_functions_outputs_30runs\values\conv_curve_F9_run5.csv,completed
5,cec2022,opfunu,WO_base,F10,10,Composition Function 2,composition,10,30,500,5243,4.862355099990964,5018.542839094685,2741.0549698807004,2400.0,341.05496988070036,-1.05264351902 3.9021143214 -0.511648520637 84.1335692831 32.8463906883 -45.1537392382 51.1049846821 26.3717629802 16.5882266609 17.0637563029,all_functions_outputs_30runs\values\conv_curve_F10_run5.csv,completed
5,cec2022,opfunu,WO_base,F11,11,Composition Function 3,composition,10,30,500,5244,6.892825100003392,3189.2246515245597,2600.051306068147,2600.0,0.051306068146914185,49.1614364854 7.48845242632 -32.8033351353 4.9892809817 70.6323163569 45.0784913972 29.4654668062 12.6876342908 16.7521775927 -56.3977044136,all_functions_outputs_30runs\values\conv_curve_F11_run5.csv,completed
5,cec2022,opfunu,WO_base,F12,12,Composition Function 4,composition,10,30,500,5245,7.5403820000065025,3429.977151910428,2867.5209675272763,2700.0,167.5209675272763,-100 -51.2159181096 -91.8950704662 -75.1440448251 100 -22.6127742216 100 83.3941071657 -100 97.6233784086,all_functions_outputs_30runs\values\conv_curve_F12_run5.csv,completed
6,cec2022,opfunu,WO_base,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,6234,1.0860287999967113,40782.625996509465,300.00103478847956,300.0,0.0010347884795578466,-55.9365498338 4.55715559784 35.2833479469 8.28267945219 -47.4453328833 7.30515164361 6.38446842525 -2.48953669558 -61.0719812168 -47.136416156,all_functions_outputs_30runs\values\conv_curve_F1_run6.csv,completed
6,cec2022,opfunu,WO_base,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,6235,1.1567213999951491,3114.8095613752603,408.9231900806602,400.0,8.92319008066022,27.0890166724 56.0593262157 -99.9999045234 100 46.9390711393 6.33956706414 84.7869832541 68.5773620798 -28.4499064368 71.3014229502,all_functions_outputs_30runs\values\conv_curve_F2_run6.csv,completed
6,cec2022,opfunu,WO_base,F3,3,Shifted and full Rotated Expanded Schaffer’s F7,basic,10,30,500,6236,1.7306352000014158,601.3243181884096,600.0000000131423,600.0,1.3142312127456535e-08,79.0882493788 -24.5746658376 -34.666759227 -44.6749433945 75.9939309811 16.3615103521 -21.7370761456 5.66847449808 64.9874694213 51.2651952006,all_functions_outputs_30runs\values\conv_curve_F3_run6.csv,completed
6,cec2022,opfunu,WO_base,F4,4,Shifted and Rotated Non-Continuous Rastrigin’s Function,basic,10,30,500,6237,3.334422900006757,999.9443922873221,854.0000000000001,800.0,54.000000000000114,3.10812333965 0.235130659278 -4.57887007722 3.24730919275 -19.0042502771 1.64093882153 -15.0694800497 0.634110716658 5.94358632829 3.18992897977,all_functions_outputs_30runs\values\conv_curve_F4_run6.csv,completed
6,cec2022,opfunu,WO_base,F5,5,Shifted and Rotated Levy Function,basic,10,30,500,6238,1.373165400000289,909.6472644117276,901.0949034358421,900.0,1.0949034358420704,-11.4985874326 -50.1528037793 26.0068400328 3.59480248601 -12.858096525 -10.0242325982 7.26305006389 0.623663809078 -18.8156051161 37.4923098811,all_functions_outputs_30runs\values\conv_curve_F5_run6.csv,completed
6,cec2022,opfunu,WO_base,F6,6,Hybrid Function 1,hybrid,10,30,500,6239,1.5595451000117464,969625287.9136802,39679.06082888109,1800.0,37879.06082888109,18.4542396629 31.8364300923 25.6138592296 -91.853792478 -92.1655312468 94.1015757364 -60.6819386995 -84.5940093738 -57.8695786035 -26.8155638211,all_functions_outputs_30runs\values\conv_curve_F6_run6.csv,completed
6,cec2022,opfunu,WO_base,F7,7,Hybrid Function 2,hybrid,10,30,500,6240,11.756046599999536,6018.5742630191,2038.0552113840802,2000.0,38.05521138408017,56.9748508803 -54.8654119723 -31.4303291689 71.3056739719 -50.1078250517 -57.7956410849 -13.8127805155 12.247946919 5.71085840123 -22.8249113631,all_functions_outputs_30runs\values\conv_curve_F7_run6.csv,completed
6,cec2022,opfunu,WO_base,F8,8,Hybrid Function 3,hybrid,10,30,500,6241,15.78172739999718,68493864045482.07,2998.4745288384024,2200.0,798.4745288384024,21.7185132203 15.3896106213 -22.2494287117 49.3454975027 20.3183278134 39.3430828538 21.6131866416 5.22864776952 39.5337572297 72.6062669633,all_functions_outputs_30runs\values\conv_curve_F8_run6.csv,completed
6,cec2022,opfunu,WO_base,F9,9,Composition Function 1,composition,10,30,500,6242,4.358986999999615,4944.458724462742,2461.3491281168913,2300.0,161.34912811689128,36.7494701558 1.77160698538 4.91954234525 -51.2520638086 33.3484901137 55.1207356507 26.1050248615 -62.8876602459 -38.4443525359 17.3560178827,all_functions_outputs_30runs\values\conv_curve_F9_run6.csv,completed
6,cec2022,opfunu,WO_base,F10,10,Composition Function 2,composition,10,30,500,6243,3.5751208000001498,4367.808917194578,2724.1725192047743,2400.0,324.1725192047743,-1.3470890761 8.33658628134 19.8981869079 63.0901573451 18.8092990429 -37.0167104942 15.8493812708 29.4174064806 -8.22401799797 27.5963234915,all_functions_outputs_30runs\values\conv_curve_F10_run6.csv,completed
6,cec2022,opfunu,WO_base,F11,11,Composition Function 3,composition,10,30,500,6244,7.038263800001005,3654.890714919104,2600.0111184320945,2600.0,0.01111843209446306,49.1662220804 7.43393793116 -32.765377363 4.96100389662 70.618164369 45.0072616654 29.4526526667 12.6625714713 16.7604474683 -56.3764064748,all_functions_outputs_30runs\values\conv_curve_F11_run6.csv,completed
6,cec2022,opfunu,WO_base,F12,12,Composition Function 4,composition,10,30,500,6245,7.508219299998018,3704.479790017554,2868.2122589882442,2700.0,168.21225898824423,-100 -99.9968851569 -97.504787855 -49.4806056977 100 -58.8023652409 99.4053610069 63.7009442733 -100 99.9878562421,all_functions_outputs_30runs\values\conv_curve_F12_run6.csv,completed
7,cec2022,opfunu,WO_base,F1,1,Shifted and full Rotated Zakharov Function,basic,10,30,500,7234,1.364893200006918,50230.07878208904,300.0014402777244,300.0,0.0014402777243844866,-55.9264270495 4.5320027676 35.3200143499 8.26589266722 -47.4463789995 7.2934029247 6.37004007347 -2.49814405007 -61.0526880569 -47.1233092829,all_functions_outputs_30runs\values\conv_curve_F1_run7.csv,completed
7,cec2022,opfunu,WO_base,F2,2,Shifted and Rotated Rosenbrock’s Function,basic,10,30,500,7235,1.123722500007716,6891.917140229065,426.25468398655494,400.0,26.254683986554937,23.3886281506 41.5387926414 -100 99.9218189809 46.5738488462 -3.70668573935 91.1657369187 50.2176118003 -34.4694274425 76.0439684992,all_functions_outputs_30runs\values\conv_curve_F2_run7.csv,completed
